mode,granularity,answerable_questions,recall@1,precision@1,mrr@1,ndcg@1,recall@3,precision@3,mrr@3,ndcg@3,recall@5,precision@5,mrr@5,ndcg@5,recall@6,precision@6,mrr@6,ndcg@6,recall@10,precision@10,mrr@10,ndcg@10
bm25,chunk,16,0.1875,0.1875,0.1875,0.1875,0.3750,0.1250,0.2604,0.2894,0.3750,0.0750,0.2604,0.2894,0.3750,0.0625,0.2604,0.2894,0.3750,0.0625,0.2604,0.2894
bm25,source,16,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625
dense,chunk,16,0.0625,0.0625,0.0625,0.0625,0.1250,0.0417,0.0938,0.1019,0.1875,0.0375,0.1094,0.1289,0.1875,0.0312,0.1094,0.1289,0.1875,0.0312,0.1094,0.1289
dense,source,16,0.6875,0.6875,0.6875,0.6875,0.8125,0.6458,0.7500,0.7664,0.9375,0.6583,0.7812,0.8202,0.9375,0.6562,0.7812,0.8202,0.9375,0.6562,0.7812,0.8202
hybrid,chunk,16,0.4375,0.4375,0.4375,0.4375,0.6250,0.2083,0.5312,0.5558,0.6250,0.1250,0.5312,0.5558,0.6250,0.1042,0.5312,0.5558,0.6250,0.1042,0.5312,0.5558
hybrid,source,16,0.8750,0.8750,0.8750,0.8750,1.0000,0.7917,0.9375,0.9539,1.0000,0.7594,0.9375,0.9539,1.0000,0.7552,0.9375,0.9539,1.0000,0.7552,0.9375,0.9539
hybrid_rerank,chunk,16,0.3125,0.3125,0.3125,0.3125,0.3125,0.1042,0.3125,0.3125,0.3750,0.0750,0.3281,0.3394,0.4375,0.0729,0.3385,0.3617,0.4375,0.0729,0.3385,0.3617
hybrid_rerank,source,16,0.9375,0.9375,0.9375,0.9375,0.9375,0.7708,0.9375,0.9375,1.0000,0.7625,0.9531,0.9644,1.0000,0.7604,0.9531,0.9644,1.0000,0.7604,0.9531,0.9644
llm_only,chunk,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
llm_only,source,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
